,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
6066,United Kingdom,GBR,2008,0,0,0,0,0,0,37903.0,61270318.0,0.0
6094,United States,USA,2008,0,0,0,0,0,0,50384.0,304989064.0,0.0
6122,United States Virgin Islands,VIR,2008,0,0,0,0,0,0,,,0.0
6150,Uruguay,URY,2008,0,0,0,0,0,0,15308.0,3345967.0,0.0
6178,Uzbekistan,UZB,2008,3,0,0,2,1,0,3782.0,26811974.0,0.01
6206,Vanuatu,VUT,2008,1,0,0,0,0,0,2944.0,228041.0,3.64
6234,Venezuela,VEN,2008,17,2,1,9,3,2,17897.0,28057485.0,0.39
6262,Vietnam,VNM,2008,1364,82,33,645,285,318,4010.0,85951912.0,0.15
6290,Wales,,2008,0,0,0,0,0,0,,,0.0
6318,Western Europe,,2008,10,0,0,0,0,10,,,0.0
6346,Western Sub-Saharan Africa,,2008,500885,351036,35180,54779,38832,21058,,,27.62
6374,World,OWID_WRL,2008,874094,570087,76121,119238,73621,35027,12874.0,,2.77
6402,Yemen,YEM,2008,6,0,0,4,1,1,4228.0,,1.42
6430,Zambia,ZMB,2008,3643,2077,311,762,365,127,2882.0,12379612.0,10.02
6458,Zimbabwe,ZWE,2008,876,465,189,170,36,16,1215.0,12451543.0,4.43
