country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Central Europe,,2008,0,0,0,0,0,0,,0.0,
"Central Europe, Eastern Europe, and Central Asia",,2008,12,0,4,2,2,20,,0.01,
Central Latin America,,2008,21,14,61,18,15,129,,0.18,
Central Sub-Saharan Africa,,2008,96516,9881,19170,11486,3337,140390,,28.41,
Chad,TCD,2008,8270,1024,1104,853,502,11753,10653762.0,19.62,1737.0
Chile,CHL,2008,0,0,0,0,0,0,16795593.0,0.0,19032.0
China,CHN,2008,2,3,79,25,34,143,1328275524.0,0.02,7948.0
Colombia,COL,2008,13,6,19,7,6,51,45005782.0,0.42,10547.0
Comoros,COM,2008,0,0,1,0,0,1,697034.0,7.07,1423.0
Congo,COG,2008,1183,153,634,365,106,2441,3836339.0,18.05,4730.0
Costa Rica,CRI,2008,0,0,0,0,0,0,4522124.0,0.12,12835.0
Cote d'Ivoire,CIV,2008,20204,2527,5130,3211,1491,32563,18987007.0,30.09,2672.0
Croatia,HRV,2008,0,0,0,0,0,0,4418387.0,0.0,22011.0
Cuba,CUB,2008,0,0,0,0,0,0,11266905.0,0.0,
Cyprus,CYP,2008,0,0,0,0,0,0,1077001.0,0.0,35960.0
Czech Republic,CZE,2008,0,0,0,0,0,0,10377359.0,0.0,29373.0
Democratic Republic of Congo,COD,2008,82924,8210,15618,9438,2773,118963,62474901.0,34.25,640.0
Denmark,DNK,2008,0,0,0,0,0,0,5497312.0,0.0,45866.0
Djibouti,DJI,2008,0,0,1,0,0,1,855636.0,0.14,
Dominica,DMA,2008,0,0,0,0,0,0,68159.0,0.0,10303.0
Dominican Republic,DOM,2008,0,0,1,0,0,1,9664948.0,0.02,10455.0
East Asia,,2008,2,3,83,26,35,149,,0.02,
Eastern Europe,,2008,0,0,0,0,0,0,,0.0,
Eastern Sub-Saharan Africa,,2008,83092,10531,23866,13688,4715,135892,,10.11,
Ecuador,ECU,2008,1,1,4,1,2,9,14056740.0,0.18,9286.0
Egypt,EGY,2008,0,0,0,0,0,0,78323298.0,0.0,9305.0
El Salvador,SLV,2008,0,0,1,0,0,1,6129628.0,0.02,6358.0
England,,2008,0,0,0,0,0,0,,0.0,
Equatorial Guinea,GNQ,2008,725,94,166,94,31,1110,662327.0,38.95,40016.0
Eritrea,ERI,2008,2,0,5,0,0,7,4947521.0,0.71,1384.0
Estonia,EST,2008,0,0,0,0,0,0,1342145.0,0.0,25969.0
Ethiopia,ETH,2008,2670,482,1565,742,219,5678,79446419.0,1.68,925.0
Fiji,FJI,2008,0,0,0,0,0,0,843651.0,0.0,7384.0
Finland,FIN,2008,0,0,0,0,0,0,5316334.0,0.0,42575.0
France,FRA,2008,0,0,0,0,2,2,62098413.0,0.0,37618.0
Gabon,GAB,2008,218,38,158,128,41,583,1450310.0,9.71,15288.0
Gambia,GMB,2008,140,22,89,69,47,367,1636107.0,2.89,1545.0
Georgia,GEO,2008,0,0,0,0,0,0,4394018.0,0.02,6408.0
Germany,DEU,2008,0,0,0,0,5,5,82475271.0,0.0,40989.0
Ghana,GHA,2008,13133,2210,7457,5351,3220,31371,23264176.0,27.63,2845.0
Greece,GRC,2008,0,0,0,0,0,0,11291807.0,0.0,31882.0
Greenland,GRL,2008,0,0,0,0,0,0,57317.0,0.0,
Grenada,GRD,2008,0,0,0,0,0,0,103723.0,0.0,12118.0
Guam,GUM,2008,0,0,0,0,0,0,175538.0,0.0,
Guatemala,GTM,2008,1,1,7,3,2,14,13690846.0,0.36,6782.0
Guinea,GIN,2008,10180,1276,1582,1424,921,15383,9559110.0,34.26,1587.0
Guinea-Bissau,GNB,2008,180,28,90,64,31,393,1453757.0,4.54,1361.0
Guyana,GUY,2008,1,1,8,2,1,13,751578.0,2.34,5425.0
Haiti,HTI,2008,1,1,7,1,1,11,9736332.0,1.02,1589.0
High SDI,,2008,0,0,2,1,12,15,,0.0,
High-income,,2008,0,0,3,2,12,17,,0.0,
High-income Asia Pacific,,2008,0,0,1,1,1,3,,0.01,
High-middle SDI,,2008,148,76,398,100,71,793,,0.02,
Honduras,HND,2008,5,6,18,4,3,36,7302742.0,0.35,4084.0
Hungary,HUN,2008,0,0,0,0,0,0,10021886.0,0.0,23734.0
Iceland,ISL,2008,0,0,0,0,0,0,310666.0,0.0,43335.0
India,IND,2008,33345,14673,7768,4789,2885,63460,1190863679.0,0.85,3787.0
Indonesia,IDN,2008,771,319,4122,1386,1069,7667,234951154.0,0.44,7793.0
Iran,IRN,2008,1,0,7,1,2,11,72289291.0,0.06,17187.0
Iraq,IRQ,2008,0,0,0,0,0,0,29821136.0,0.0,12217.0
Ireland,IRL,2008,0,0,0,0,0,0,4352866.0,0.0,46063.0
Israel,ISR,2008,0,0,0,0,0,0,7092324.0,0.0,29082.0
Italy,ITA,2008,0,0,0,0,2,2,59891479.0,0.0,37954.0
Jamaica,JAM,2008,0,0,0,0,0,0,2720282.0,0.0,8565.0
Japan,JPN,2008,0,0,0,0,0,0,126544640.0,0.0,36278.0
Jordan,JOR,2008,0,0,0,0,0,0,5848952.0,0.0,9715.0
Kazakhstan,KAZ,2008,0,0,0,0,0,0,15655345.0,0.0,19272.0
Kenya,KEN,2008,3504,655,2246,1362,491,8258,38455418.0,5.58,2335.0
Kiribati,KIR,2008,0,0,0,0,0,0,96532.0,0.0,1830.0
Kuwait,KWT,2008,0,0,0,0,0,0,2548351.0,0.0,93698.0
Kyrgyzstan,KGZ,2008,0,0,0,0,0,0,5204104.0,0.02,2791.0
Laos,LAO,2008,4,1,8,2,1,16,6022001.0,0.5,3732.0
Latin America and Caribbean,,2008,37,26,132,41,31,267,,0.2,
Latvia,LVA,2008,0,0,0,0,0,0,2271198.0,0.0,21384.0
Lebanon,LBN,2008,0,0,0,0,0,0,4166915.0,0.0,14598.0
Lesotho,LSO,2008,0,0,0,0,0,0,2127412.0,0.0,2228.0
Liberia,LBR,2008,3236,364,744,504,282,5130,3658460.0,23.68,675.0
Libya,LBY,2008,0,0,0,0,0,0,6149620.0,0.0,28984.0
Lithuania,LTU,2008,0,0,0,0,0,0,3359799.0,0.0,23568.0
Low SDI,,2008,322068,41238,64450,39969,16833,484558,,8.41,
Low-middle SDI,,2008,243278,32637,48511,31032,16225,371683,,4.96,
Luxembourg,LUX,2008,0,0,0,0,0,0,486781.0,0.0,94900.0
Macedonia,MKD,2008,0,0,0,0,0,0,2052524.0,0.0,11044.0
