country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Oman,OMN,2008,0,0,0,0,0,0,2636963,0,44939
Pakistan,PAK,2008,1363,2484,843,428,328,5446,167442258,1.18,4273
Palestine,PSE,2008,0,0,0,0,0,0,,0,3612
Panama,PAN,2008,0,0,0,0,0,0,3406487,0.16,15113
Papua New Guinea,PNG,2008,106,32,384,134,19,675,6549268,6.01,2842
Paraguay,PRY,2008,0,0,0,0,0,0,6230242,0.03,6892
Peru,PER,2008,1,0,3,1,2,7,28463338,0.36,9323
Philippines,PHL,2008,11,10,70,26,13,130,90173139,0.14,5309
Poland,POL,2008,0,0,0,0,0,0,38218462,0,20392
Portugal,PRT,2008,0,0,0,0,0,0,10634612,0,27590
Puerto Rico,PRI,2008,0,0,0,0,0,0,3758981,0,34380
Qatar,QAT,2008,0,0,0,0,0,0,1396060,0,119723
Romania,ROU,2008,0,0,0,0,0,0,21589544,0,18924
Russia,RUS,2008,0,0,0,0,0,0,143163100,0,24006
Rwanda,RWA,2008,732,131,502,309,100,1774,10004092,1.49,1264
Saint Lucia,LCA,2008,0,0,0,0,0,0,170624,0,12422
Saint Vincent and the Grenadines,VCT,2008,0,0,0,0,0,0,109178,0,10494
Samoa,WSM,2008,0,0,0,0,0,0,181809,0,5728
Sao Tome and Principe,STP,2008,0,0,0,0,0,0,159852,2.15,2532
Saudi Arabia,SAU,2008,1,0,11,2,2,16,26166639,0,46679
Scotland,,2008,0,0,0,0,0,0,,0,0
Senegal,SEN,2008,2298,349,1135,903,484,5169,11787123,4.79,2166
Serbia,SRB,2008,0,0,0,0,0,0,9841360,0,12916
Seychelles,SYC,2008,0,0,0,0,0,0,85568,0,20064
Sierra Leone,SLE,2008,12345,1192,1626,1005,614,16782,5612129,40.97,1156
Singapore,SGP,2008,0,0,0,0,0,0,4772216,0,66046
Slovakia,SVK,2008,0,0,0,0,0,0,5441304,0,25382
Slovenia,SVN,2008,0,0,0,0,0,0,2018172,0,31138
Solomon Islands,SLB,2008,0,0,1,1,1,3,510221,6.69,1924
Somalia,SOM,2008,783,142,417,181,37,1560,8922260,2.53,0
South Africa,ZAF,2008,10,12,77,18,6,123,49319363,0.01,11990
South Asia,,2008,35259,18908,10498,5861,3805,74331,,0.82,3670
South Korea,KOR,2008,0,0,1,1,1,3,47733951,0.05,28588
South Sudan,SSD,2008,3006,396,791,413,115,4721,8473315,13.73,0
Southeast Asia,,2008,2304,1081,8351,3236,1866,16838,,0.43,0
"Southeast Asia, East Asia, and Oceania",,2008,2419,1118,8844,3407,1922,17710,,0.2,0
Southern Latin America,,2008,0,0,2,1,1,4,,0,0
Southern Sub-Saharan Africa,,2008,482,202,255,57,23,1019,,0.84,0
Spain,ESP,2008,0,0,0,0,0,0,45146258,0,34164
Sri Lanka,LKA,2008,1,0,8,5,5,19,20473799,0.07,7723
Sub-Saharan Africa,,2008,531126,55794,98070,64063,29132,778185,,18.63,3122
Sudan,SDN,2008,1012,206,912,188,83,2401,32941836,2.17,3318
Suriname,SUR,2008,1,0,2,1,0,4,515066,1.07,13397
Swaziland,SWZ,2008,3,1,2,1,0,7,1150344,0.04,7184
Sweden,SWE,2008,0,0,0,0,0,0,9236872,0,43466
Switzerland,CHE,2008,0,0,0,0,0,0,7573204,0,56756
Syria,SYR,2008,0,0,0,0,0,0,19694259,0,0
Taiwan,TWN,2008,0,0,0,0,0,0,22921000,0,0
Tajikistan,TJK,2008,12,0,1,1,1,15,6691416,0.38,1992
Tanzania,TZA,2008,10066,1013,2552,1570,653,15854,42267667,10.75,1987
Thailand,THA,2008,4,4,34,11,10,63,68267982,0.24,12757
Timor,TLS,2008,1,0,1,0,0,2,,5.52,9822
Togo,TGO,2008,4446,573,1249,897,419,7584,5776837,32.25,1185
Tonga,TON,2008,0,0,0,0,0,0,102910,0,4756
Trinidad and Tobago,TTO,2008,0,0,0,0,0,0,1331040,0,31951
Tropical Latin America,,2008,10,8,41,13,9,81,,0.16,0
Tunisia,TUN,2008,0,0,0,0,0,0,10247325,0,10003
Turkey,TUR,2008,0,0,0,0,0,0,70923730,0.01,17837
Turkmenistan,TKM,2008,0,0,0,0,0,0,4918396,0,8845
Uganda,UGA,2008,30501,3149,5112,2627,998,42387,31339392,27.4,1439
Ukraine,UKR,2008,0,0,0,0,0,0,45991584,0,8740
United Arab Emirates,ARE,2008,0,0,0,0,0,0,6206623,0,71315
United Kingdom,GBR,2008,0,0,0,0,0,0,61270318,0,37903
United States,USA,2008,0,0,0,0,0,0,304989064,0,50384
United States Virgin Islands,VIR,2008,0,0,0,0,0,0,,0,0
Uruguay,URY,2008,0,0,0,0,0,0,3345967,0,15308
Uzbekistan,UZB,2008,0,0,2,1,0,3,26811974,0.01,3782
Vanuatu,VUT,2008,0,0,0,0,0,0,228041,3.64,2944
